age,workclass,education-num,marital-status,occupation,race,sex,hours-per-week,income
39,State-gov,13,Never-married,Adm-clerical,White,Male,40,<=50K
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,White,Male,13,<=50K
38,Private,9,Divorced,Handlers-cleaners,White,Male,40,<=50K
53,Private,7,Married-civ-spouse,Handlers-cleaners,Black,Male,40,<=50K
28,Private,13,Married-civ-spouse,Prof-specialty,Black,Female,40,<=50K
37,Private,14,Married-civ-spouse,Exec-managerial,White,Female,40,<=50K
49,Private,5,Married-spouse-absent,Other-service,Black,Female,16,<=50K
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,White,Male,45,>50K
31,Private,14,Never-married,Prof-specialty,White,Female,50,>50K
42,Private,13,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
37,Private,10,Married-civ-spouse,Exec-managerial,Black,Male,80,>50K
30,State-gov,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,>50K
23,Private,13,Never-married,Adm-clerical,White,Female,30,<=50K
32,Private,12,Never-married,Sales,Black,Male,50,<=50K
40,Private,11,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,>50K
34,Private,4,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,45,<=50K
25,Self-emp-not-inc,9,Never-married,Farming-fishing,White,Male,35,<=50K
32,Private,9,Never-married,Machine-op-inspct,White,Male,40,<=50K
38,Private,7,Married-civ-spouse,Sales,White,Male,50,<=50K
43,Self-emp-not-inc,14,Divorced,Exec-managerial,White,Female,45,>50K
40,Private,16,Married-civ-spouse,Prof-specialty,White,Male,60,>50K
54,Private,9,Separated,Other-service,Black,Female,20,<=50K
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Black,Male,40,<=50K
43,Private,7,Married-civ-spouse,Transport-moving,White,Male,40,<=50K
59,Private,9,Divorced,Tech-support,White,Female,40,<=50K
56,Local-gov,13,Married-civ-spouse,Tech-support,White,Male,40,>50K
19,Private,9,Never-married,Craft-repair,White,Male,40,<=50K
54,?,10,Married-civ-spouse,?,Asian-Pac-Islander,Male,60,>50K
39,Private,9,Divorced,Exec-managerial,White,Male,80,<=50K
49,Private,9,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
23,Local-gov,12,Never-married,Protective-serv,White,Male,52,<=50K
20,Private,10,Never-married,Sales,Black,Male,44,<=50K
45,Private,13,Divorced,Exec-managerial,White,Male,40,<=50K
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,40,<=50K
22,State-gov,10,Married-civ-spouse,Other-service,Black,Male,15,<=50K
48,Private,7,Never-married,Machine-op-inspct,White,Male,40,<=50K
21,Private,10,Never-married,Machine-op-inspct,White,Male,40,<=50K
19,Private,9,Married-AF-spouse,Adm-clerical,White,Female,25,<=50K
31,Private,10,Married-civ-spouse,Sales,White,Male,38,>50K
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,White,Male,40,<=50K
31,Private,5,Married-civ-spouse,Machine-op-inspct,White,Male,43,<=50K
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,White,Male,40,<=50K
24,Private,13,Married-civ-spouse,Tech-support,White,Male,50,<=50K
49,Private,9,Separated,Adm-clerical,White,Female,40,<=50K
25,Private,9,Never-married,Handlers-cleaners,White,Male,35,<=50K
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Black,Male,40,>50K
53,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,38,<=50K
44,Private,14,Divorced,Exec-managerial,White,Female,40,<=50K
41,State-gov,11,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
29,Private,11,Never-married,Prof-specialty,White,Male,43,<=50K
25,Private,10,Married-civ-spouse,Exec-managerial,Other,Female,40,<=50K
18,Private,9,Never-married,Other-service,White,Female,30,<=50K
47,Private,15,Married-civ-spouse,Prof-specialty,White,Female,60,>50K
50,Federal-gov,13,Divorced,Exec-managerial,White,Male,55,>50K
47,Self-emp-inc,9,Divorced,Exec-managerial,White,Male,60,<=50K
43,Private,10,Married-civ-spouse,Tech-support,White,Male,40,>50K
46,Private,3,Married-civ-spouse,Machine-op-inspct,White,Male,40,<=50K
35,Private,11,Married-civ-spouse,Other-service,White,Male,40,<=50K
41,Private,9,Married-civ-spouse,Adm-clerical,White,Male,48,<=50K
30,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,40,<=50K
30,Private,13,Married-civ-spouse,Sales,White,Male,40,<=50K
32,?,4,Married-spouse-absent,?,White,Male,40,<=50K
48,Private,9,Married-civ-spouse,Transport-moving,White,Male,40,<=50K
42,Private,16,Married-civ-spouse,Prof-specialty,White,Male,45,>50K
29,Private,10,Divorced,Tech-support,White,Male,58,<=50K
36,Private,9,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
28,Private,10,Divorced,Adm-clerical,White,Female,40,<=50K
53,Private,9,Married-civ-spouse,Adm-clerical,White,Female,40,>50K
49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,White,Male,50,>50K
25,?,10,Never-married,?,White,Male,40,<=50K
19,Private,10,Never-married,Prof-specialty,White,Male,32,<=50K
31,Private,13,Separated,Sales,Black,Female,40,<=50K
29,Self-emp-not-inc,13,Married-civ-spouse,Sales,White,Male,70,>50K
23,Private,10,Never-married,Machine-op-inspct,White,Male,40,<=50K
79,Private,10,Married-civ-spouse,Prof-specialty,White,Male,20,<=50K
27,Private,9,Never-married,Other-service,White,Male,40,<=50K
40,Private,12,Married-civ-spouse,Adm-clerical,White,Male,40,<=50K
67,?,6,Married-civ-spouse,?,White,Male,2,<=50K
18,Private,7,Never-married,Other-service,White,Female,22,<=50K
31,Local-gov,4,Married-civ-spouse,Farming-fishing,White,Male,40,<=50K
18,Private,9,Never-married,Sales,White,Male,30,<=50K
52,Private,13,Married-civ-spouse,Other-service,White,Male,40,<=50K
46,Private,9,Married-civ-spouse,Other-service,White,Female,40,<=50K
59,Private,9,Married-civ-spouse,Sales,White,Male,48,<=50K
44,Private,9,Divorced,Craft-repair,White,Female,40,>50K
53,Private,9,Divorced,Sales,White,Female,35,<=50K
49,Local-gov,9,Married-civ-spouse,Protective-serv,White,Male,40,>50K
33,Private,14,Married-civ-spouse,Prof-specialty,White,Male,50,<=50K
30,Private,5,Never-married,Sales,White,Male,40,<=50K
43,Federal-gov,16,Never-married,Prof-specialty,White,Female,50,>50K
57,Private,11,Married-civ-spouse,Prof-specialty,White,Male,40,<=50K
37,Private,10,Divorced,Craft-repair,White,Female,40,<=50K
28,Private,10,Divorced,Machine-op-inspct,Black,Female,25,<=50K
30,Private,9,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,35,<=50K
34,Local-gov,13,Married-civ-spouse,Protective-serv,White,Male,40,>50K
29,Local-gov,10,Never-married,Handlers-cleaners,White,Male,50,<=50K
48,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,White,Male,60,>50K
37,Private,10,Married-civ-spouse,Sales,White,Male,48,>50K
48,Private,12,Divorced,Exec-managerial,White,Female,40,<=50K
32,Federal-gov,9,Never-married,Other-service,Black,Male,40,<=50K
76,Private,14,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
44,Private,13,Married-civ-spouse,Exec-managerial,White,Male,60,>50K
47,Self-emp-not-inc,14,Never-married,Prof-specialty,White,Female,50,<=50K
20,Private,10,Never-married,Tech-support,White,Female,40,<=50K
29,Private,9,Never-married,Craft-repair,White,Male,40,<=50K
32,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,40,>50K
17,?,6,Never-married,?,White,Female,32,<=50K
30,Private,7,Never-married,Handlers-cleaners,White,Male,40,<=50K
31,Local-gov,9,Never-married,Adm-clerical,White,Female,40,<=50K
42,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,40,<=50K
24,Private,13,Never-married,Sales,White,Male,40,<=50K
38,Private,15,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
56,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Male,50,>50K
28,Private,10,Married-civ-spouse,Sales,White,Female,25,<=50K
36,Private,9,Never-married,Machine-op-inspct,White,Female,40,<=50K
53,Private,5,Married-civ-spouse,Handlers-cleaners,White,Male,50,<=50K
56,Self-emp-inc,10,Married-civ-spouse,Sales,White,Male,50,<=50K
49,Local-gov,11,Married-civ-spouse,Craft-repair,Black,Male,40,>50K
55,Private,10,Married-civ-spouse,Sales,White,Male,56,<=50K
22,Private,9,Never-married,Craft-repair,White,Male,41,<=50K
21,Private,10,Never-married,Other-service,White,Female,40,<=50K
40,Private,13,Married-civ-spouse,Exec-managerial,White,Male,60,<=50K
30,Private,13,Never-married,Exec-managerial,Black,Male,40,<=50K
29,State-gov,13,Married-civ-spouse,Prof-specialty,White,Male,50,>50K
19,Private,10,Never-married,Other-service,Black,Male,35,<=50K
47,Private,13,Married-civ-spouse,Exec-managerial,White,Female,40,>50K
20,Private,10,Never-married,Adm-clerical,White,Female,28,<=50K
31,Private,12,Married-civ-spouse,Adm-clerical,White,Male,40,>50K
35,?,9,Married-civ-spouse,?,White,Male,40,<=50K
39,Private,10,Divorced,Craft-repair,White,Male,40,<=50K
28,Private,12,Never-married,Sales,White,Female,60,<=50K
24,Private,9,Never-married,Other-service,White,Female,40,<=50K
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,35,<=50K
37,Private,13,Married-civ-spouse,Sales,White,Male,50,<=50K
46,Private,12,Divorced,Tech-support,Black,Female,36,<=50K
38,Federal-gov,14,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
43,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,60,<=50K
27,Private,11,Married-civ-spouse,Adm-clerical,White,Female,35,<=50K
20,Private,10,Never-married,Sales,White,Male,20,<=50K
49,Private,10,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,>50K
61,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
27,Private,10,Never-married,Sales,White,Female,40,<=50K
19,Private,10,Never-married,Other-service,White,Male,30,<=50K
45,Private,11,Never-married,Prof-specialty,White,Female,40,>50K
70,Private,10,Never-married,Tech-support,White,Male,40,<=50K
31,Private,9,Never-married,Transport-moving,Black,Female,30,<=50K
22,Private,10,Married-civ-spouse,Other-service,White,Male,24,<=50K
36,Private,9,Widowed,Other-service,White,Female,24,<=50K
64,Private,7,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
43,?,10,Divorced,?,White,Female,40,<=50K
47,Local-gov,10,Divorced,Adm-clerical,White,Female,38,<=50K
34,Private,9,Never-married,Adm-clerical,White,Female,40,<=50K
33,Private,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,40,<=50K
21,Private,9,Never-married,Craft-repair,White,Male,35,<=50K
52,?,9,Divorced,?,White,Male,45,>50K
48,Private,9,Married-civ-spouse,Craft-repair,White,Male,46,<=50K
23,Private,13,Never-married,Handlers-cleaners,White,Male,40,<=50K
71,Self-emp-not-inc,10,Separated,Sales,Black,Male,2,<=50K
29,Private,9,Divorced,Craft-repair,White,Male,60,<=50K
42,Private,13,Separated,Other-service,Black,Male,50,<=50K
68,?,2,Divorced,?,White,Female,20,<=50K
25,Private,9,Never-married,Other-service,White,Female,40,<=50K
44,Self-emp-inc,14,Divorced,Exec-managerial,Asian-Pac-Islander,Female,40,<=50K
28,Private,9,Never-married,Exec-managerial,Asian-Pac-Islander,Female,40,<=50K
45,Self-emp-not-inc,14,Married-civ-spouse,Sales,White,Male,40,>50K
36,Private,10,Divorced,Other-service,White,Female,40,<=50K
39,Federal-gov,12,Never-married,Exec-managerial,White,Male,42,<=50K
46,State-gov,14,Widowed,Protective-serv,White,Male,40,<=50K
18,Private,7,Never-married,Handlers-cleaners,White,Male,16,<=50K
66,Local-gov,11,Widowed,Prof-specialty,White,Female,20,<=50K
27,Private,9,Never-married,Other-service,White,Male,40,<=50K
28,State-gov,9,Married-civ-spouse,Protective-serv,White,Male,40,<=50K
51,Private,10,Married-civ-spouse,Sales,White,Male,40,>50K
27,Private,13,Never-married,Craft-repair,White,Male,50,<=50K
28,State-gov,13,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
27,Private,9,Married-spouse-absent,Sales,White,Female,25,<=50K
21,Private,9,Never-married,Craft-repair,Black,Male,40,<=50K
34,Private,9,Never-married,Handlers-cleaners,Black,Male,40,<=50K
18,Private,9,Never-married,Other-service,White,Male,12,<=50K
33,Private,13,Married-civ-spouse,Prof-specialty,White,Male,65,<=50K
44,Local-gov,10,Married-civ-spouse,Exec-managerial,Black,Male,38,>50K
43,Private,10,Divorced,Adm-clerical,White,Female,40,<=50K
30,Private,10,Never-married,Craft-repair,Black,Male,45,<=50K
40,Private,4,Married-civ-spouse,Machine-op-inspct,White,Male,40,>50K
37,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,42,>50K
34,Private,9,Married-civ-spouse,Adm-clerical,Black,Male,40,<=50K
41,Self-emp-not-inc,13,Divorced,Exec-managerial,White,Female,40,<=50K
53,?,13,Divorced,?,White,Female,50,<=50K
31,Private,14,Married-civ-spouse,Prof-specialty,White,Female,50,<=50K
58,State-gov,16,Married-civ-spouse,Prof-specialty,White,Male,1,>50K
38,Private,10,Divorced,Machine-op-inspct,Black,Female,28,<=50K
24,Private,10,Married-civ-spouse,Machine-op-inspct,White,Male,40,<=50K
41,Local-gov,13,Married-civ-spouse,Craft-repair,Black,Male,40,<=50K
47,Private,10,Married-civ-spouse,Tech-support,White,Male,45,<=50K
41,Federal-gov,13,Married-civ-spouse,Tech-support,White,Male,24,<=50K
23,Private,3,Married-civ-spouse,Transport-moving,White,Male,40,<=50K
36,Private,10,Divorced,Craft-repair,White,Male,40,<=50K
40,Federal-gov,14,Never-married,Exec-managerial,White,Female,55,>50K
35,Private,14,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
24,Self-emp-not-inc,9,Never-married,Sales,White,Male,40,<=50K
26,Private,14,Never-married,Prof-specialty,White,Female,40,<=50K
19,?,9,Never-married,?,White,Male,40,<=50K
51,Private,13,Married-civ-spouse,Exec-managerial,White,Male,50,>50K
42,Local-gov,10,Never-married,Prof-specialty,White,Female,40,<=50K
37,State-gov,9,Divorced,Adm-clerical,White,Female,35,<=50K
18,Private,7,Never-married,Sales,White,Female,40,<=50K
36,Private,13,Married-civ-spouse,Other-service,Black,Male,36,>50K
35,Private,9,Divorced,Craft-repair,White,Male,60,<=50K
58,Self-emp-inc,9,Married-civ-spouse,Sales,White,Female,35,>50K
17,Private,7,Never-married,Sales,White,Female,12,<=50K
44,Local-gov,9,Married-civ-spouse,Transport-moving,Black,Male,40,<=50K
37,Private,9,Married-civ-spouse,Craft-repair,White,Male,40,>50K
35,Private,10,Never-married,Sales,Amer-Indian-Eskimo,Female,40,<=50K
60,Private,9,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,<=50K
54,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,White,Male,40,>50K
37,Private,13,Never-married,Exec-managerial,Black,Male,60,>50K
50,Private,12,Divorced,Sales,White,Female,40,<=50K
38,Private,13,Married-civ-spouse,Sales,White,Male,50,<=50K
45,Private,13,Married-civ-spouse,Prof-specialty,White,Male,55,<=50K
25,Private,6,Never-married,Craft-repair,White,Male,40,<=50K
31,Private,10,Married-civ-spouse,Handlers-cleaners,White,Male,40,<=50K
64,?,2,Divorced,?,White,Male,40,<=50K
90,Private,9,Never-married,Other-service,Black,Male,40,<=50K
54,Private,9,Married-civ-spouse,Adm-clerical,Black,Male,20,<=50K
53,Local-gov,1,Never-married,Machine-op-inspct,White,Female,35,<=50K
18,Private,9,Never-married,Sales,White,Female,40,<=50K
60,?,6,Divorced,?,Amer-Indian-Eskimo,Female,10,<=50K
66,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,50,<=50K
75,Private,11,Widowed,Adm-clerical,White,Female,20,<=50K
65,Private,9,Divorced,Adm-clerical,White,Female,40,<=50K
35,Private,7,Separated,Transport-moving,Black,Male,40,<=50K
41,Private,9,Divorced,Sales,Black,Female,38,<=50K
25,Private,10,Never-married,Adm-clerical,White,Male,42,<=50K
33,Private,10,Divorced,Craft-repair,Other,Female,40,<=50K
28,Private,15,Never-married,Prof-specialty,White,Male,55,>50K
59,State-gov,9,Married-civ-spouse,Other-service,White,Male,40,<=50K
40,State-gov,10,Never-married,Adm-clerical,White,Female,38,<=50K
41,Private,13,Married-civ-spouse,Exec-managerial,White,Male,50,>50K
38,Local-gov,14,Married-civ-spouse,Exec-managerial,White,Male,70,>50K
23,Private,9,Never-married,Transport-moving,White,Male,40,<=50K
40,Private,13,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
41,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Female,20,<=50K
24,State-gov,12,Married-civ-spouse,Protective-serv,White,Male,50,<=50K
20,?,10,Never-married,?,White,Male,20,<=50K
38,Private,10,Divorced,Craft-repair,White,Male,40,<=50K
56,Private,9,Married-civ-spouse,Adm-clerical,White,Male,35,<=50K
58,Private,9,Married-civ-spouse,Adm-clerical,White,Male,45,>50K
32,Private,9,Never-married,Other-service,White,Female,34,<=50K
40,Private,12,Married-civ-spouse,Tech-support,White,Male,60,>50K
45,Private,9,Married-civ-spouse,Adm-clerical,White,Male,40,<=50K
41,Private,15,Married-civ-spouse,Prof-specialty,White,Female,40,>50K
42,Private,13,Married-civ-spouse,Adm-clerical,Black,Female,40,<=50K
59,Local-gov,6,Widowed,Other-service,Black,Female,30,<=50K
19,Local-gov,10,Never-married,Adm-clerical,White,Male,40,<=50K
58,Private,10,Never-married,Transport-moving,White,Male,20,<=50K
42,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,40,>50K
20,Private,9,Never-married,Other-service,White,Female,40,<=50K
32,Private,9,Separated,Other-service,White,Female,30,<=50K
45,Private,11,Widowed,Exec-managerial,White,Female,45,<=50K
50,Private,4,Divorced,Craft-repair,White,Male,40,<=50K
36,Private,13,Divorced,Prof-specialty,White,Female,40,<=50K
45,Private,9,Married-civ-spouse,Sales,White,Male,60,<=50K
17,Private,7,Never-married,Other-service,White,Male,12,<=50K
59,Private,10,Married-civ-spouse,Sales,White,Male,40,<=50K
26,Private,7,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
37,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,75,>50K
19,?,10,Never-married,?,White,Male,24,<=50K
64,Private,9,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
33,Private,13,Never-married,Prof-specialty,White,Female,45,<=50K
33,Private,9,Married-civ-spouse,Craft-repair,White,Female,40,>50K
61,Private,9,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
17,Private,5,Never-married,Other-service,White,Male,24,<=50K
50,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,White,Male,98,<=50K
27,Local-gov,14,Never-married,Prof-specialty,White,Male,35,<=50K
30,Private,9,Divorced,Prof-specialty,White,Female,40,<=50K
43,Private,9,Married-civ-spouse,Handlers-cleaners,Black,Male,40,<=50K
44,Private,10,Married-civ-spouse,Craft-repair,White,Male,40,>50K
35,Private,10,Never-married,Exec-managerial,White,Female,40,<=50K
25,Private,10,Never-married,Tech-support,White,Female,40,<=50K
24,Private,10,Married-civ-spouse,Machine-op-inspct,White,Female,48,>50K
22,Private,13,Never-married,Prof-specialty,White,Female,15,<=50K
42,Local-gov,10,Married-civ-spouse,Craft-repair,White,Male,40,>50K
34,Private,12,Divorced,Sales,Black,Female,45,<=50K
60,Private,13,Divorced,Prof-specialty,White,Female,42,<=50K
21,Private,9,Never-married,Handlers-cleaners,White,Male,40,<=50K
57,Federal-gov,14,Married-civ-spouse,Sales,White,Male,40,>50K
41,Private,15,Married-civ-spouse,Prof-specialty,White,Male,60,>50K
50,Private,10,Divorced,Other-service,White,Male,45,<=50K
25,Private,13,Never-married,Exec-managerial,White,Female,40,<=50K
50,Private,4,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
36,Private,13,Married-civ-spouse,Prof-specialty,White,Male,45,<=50K
31,Private,9,Divorced,Prof-specialty,White,Female,40,<=50K
29,Local-gov,13,Never-married,Protective-serv,White,Male,56,<=50K
21,Private,10,Never-married,Sales,White,Male,45,<=50K
27,Private,13,Never-married,Tech-support,Black,Female,40,<=50K
65,Private,9,Married-civ-spouse,Transport-moving,White,Male,16,<=50K
37,Self-emp-inc,13,Divorced,Sales,White,Female,60,<=50K
39,?,14,Married-civ-spouse,?,Asian-Pac-Islander,Female,40,<=50K
24,Private,9,Never-married,Craft-repair,White,Male,40,<=50K
38,Private,9,Divorced,Sales,White,Male,80,<=50K
48,Private,13,Married-civ-spouse,Adm-clerical,White,Male,40,>50K
21,Private,10,Never-married,Other-service,Asian-Pac-Islander,Female,25,<=50K
31,Private,9,Married-civ-spouse,Transport-moving,White,Male,45,>50K
55,Private,9,Married-civ-spouse,Sales,White,Male,40,>50K
24,Private,10,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,40,<=50K
43,Private,9,Divorced,Adm-clerical,White,Female,40,<=50K
26,Private,12,Never-married,Tech-support,White,Male,45,<=50K
46,Private,12,Never-married,Prof-specialty,White,Female,33,<=50K
35,Private,12,Married-civ-spouse,Adm-clerical,White,Male,40,>50K
41,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,White,Male,54,>50K
26,Private,13,Never-married,Sales,White,Male,40,<=50K
34,Private,14,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,35,>50K
19,?,10,Never-married,?,Black,Female,25,<=50K
36,Self-emp-not-inc,13,Divorced,Prof-specialty,Black,Female,40,>50K
22,Private,10,Never-married,Sales,White,Male,15,<=50K
24,Private,10,Never-married,Machine-op-inspct,White,Male,40,<=50K
77,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,40,<=50K
22,Private,3,Married-civ-spouse,Machine-op-inspct,White,Female,40,<=50K
29,Private,10,Never-married,Tech-support,White,Female,40,<=50K
62,Private,9,Widowed,Other-service,White,Female,24,<=50K
39,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,White,Male,40,<=50K
43,Private,10,Married-civ-spouse,Craft-repair,White,Male,50,<=50K
35,Private,9,Divorced,Transport-moving,White,Male,45,<=50K
29,Private,7,Never-married,Exec-managerial,White,Female,40,<=50K
76,Self-emp-not-inc,14,Married-civ-spouse,Craft-repair,White,Male,10,<=50K
63,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,45,<=50K
23,?,11,Never-married,?,Black,Female,15,<=50K
43,Private,10,Married-civ-spouse,Prof-specialty,White,Female,50,>50K
58,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,White,Male,40,<=50K
66,Private,9,Never-married,Transport-moving,White,Male,55,<=50K
41,Private,10,Never-married,Craft-repair,Black,Male,45,<=50K
26,Private,13,Never-married,Adm-clerical,White,Male,40,<=50K
47,Private,11,Never-married,Other-service,White,Male,40,<=50K
55,Local-gov,6,Married-civ-spouse,Adm-clerical,White,Male,40,<=50K
53,Private,9,Married-civ-spouse,Transport-moving,White,Male,40,<=50K
17,Private,3,Never-married,Other-service,White,Male,48,<=50K
30,Private,9,Never-married,Craft-repair,White,Male,40,<=50K
49,Private,14,Never-married,Prof-specialty,White,Male,60,<=50K
19,Private,9,Never-married,Sales,Black,Male,30,<=50K
45,Private,9,Married-civ-spouse,Other-service,Black,Male,40,<=50K
26,Private,12,Never-married,Sales,White,Male,40,<=50K
38,Private,11,Married-civ-spouse,Craft-repair,White,Male,40,>50K
36,State-gov,9,Married-civ-spouse,Protective-serv,White,Male,40,>50K
33,Private,9,Never-married,Farming-fishing,White,Male,20,<=50K
22,State-gov,10,Never-married,Protective-serv,Black,Female,40,<=50K
43,Self-emp-not-inc,13,Never-married,Sales,White,Male,42,<=50K
67,?,7,Married-civ-spouse,?,White,Male,8,<=50K
30,?,11,Divorced,?,White,Female,40,<=50K
56,Private,12,Married-spouse-absent,Other-service,White,Male,25,<=50K
31,Private,13,Never-married,Prof-specialty,White,Male,25,<=50K
33,Private,13,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
26,Private,9,Married-civ-spouse,Other-service,White,Male,40,<=50K
33,Private,13,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
46,Local-gov,7,Married-civ-spouse,Transport-moving,White,Male,30,<=50K
59,?,13,Married-civ-spouse,?,White,Male,40,>50K
38,Federal-gov,9,Married-civ-spouse,Adm-clerical,White,Male,40,>50K
65,Private,7,Widowed,Other-service,Other,Male,40,<=50K
40,Private,11,Married-civ-spouse,Tech-support,White,Male,40,>50K
42,Private,9,Married-civ-spouse,Adm-clerical,White,Female,35,<=50K
26,Self-emp-not-inc,5,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
36,Private,6,Married-civ-spouse,Other-service,White,Female,24,<=50K
62,Private,14,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
43,Private,13,Married-civ-spouse,Transport-moving,White,Male,45,<=50K
43,Private,13,Divorced,Exec-managerial,White,Male,45,>50K
22,Private,9,Married-spouse-absent,Sales,White,Male,55,<=50K
28,Private,9,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
56,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,45,<=50K
22,Private,12,Never-married,Sales,White,Female,15,<=50K
57,Private,13,Divorced,Exec-managerial,White,Female,45,>50K
39,Private,9,Divorced,Sales,White,Female,40,<=50K
26,Federal-gov,10,Never-married,Adm-clerical,White,Female,15,<=50K
17,Private,7,Never-married,Other-service,White,Male,10,<=50K
40,State-gov,11,Married-civ-spouse,Machine-op-inspct,White,Male,38,>50K
45,Private,9,Married-civ-spouse,Machine-op-inspct,Black,Male,40,<=50K
44,Private,9,Never-married,Craft-repair,Black,Male,40,<=50K
20,Local-gov,10,Never-married,Adm-clerical,White,Female,10,<=50K
33,Private,9,Married-civ-spouse,Craft-repair,White,Female,40,<=50K
23,Private,10,Never-married,Sales,White,Male,40,<=50K
46,Self-emp-not-inc,14,Divorced,Exec-managerial,White,Male,30,<=50K
38,Private,9,Married-civ-spouse,Sales,White,Male,50,<=50K
54,Private,9,Divorced,Transport-moving,White,Male,40,<=50K
46,Private,3,Divorced,Craft-repair,White,Female,45,<=50K
25,Private,10,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
46,Private,10,Divorced,Sales,White,Female,40,<=50K
36,Local-gov,10,Married-civ-spouse,Transport-moving,White,Female,40,<=50K
23,Private,9,Never-married,Other-service,White,Female,25,<=50K
29,Private,9,Separated,Machine-op-inspct,White,Male,40,<=50K
44,Private,10,Married-civ-spouse,Adm-clerical,White,Female,6,>50K
19,Private,10,Never-married,Adm-clerical,White,Female,16,<=50K
19,Private,9,Never-married,Other-service,White,Female,40,<=50K
35,Private,9,Married-civ-spouse,Other-service,White,Female,40,>50K
27,Private,13,Never-married,Craft-repair,White,Male,50,<=50K
46,Self-emp-not-inc,12,Separated,Craft-repair,White,Male,40,<=50K
34,State-gov,13,Married-civ-spouse,Exec-managerial,White,Male,45,>50K
34,Private,9,Never-married,Other-service,White,Female,35,<=50K
44,Private,10,Married-civ-spouse,Tech-support,White,Male,40,<=50K
45,Private,10,Divorced,Handlers-cleaners,White,Female,40,<=50K
20,?,9,Never-married,?,White,Female,35,<=50K
